Foldername,Title,Authors,Keywords,Cited by,Source title,Year,DOI,URL,PDF_URL,Abstract
selfadded,A Robotic Approach towards Quantifying Epipelagic Bound Plastic Using Deep Visual Models,Tata G.; Royer S.-J.; Poirion O.; Lowe J.,"['debris', 'marine', 'sampling', 'oceans', 'trawls']",,arXiv,2021.0,10.48550/arXiv.2105.01882,https://doi.org/10.48550/arXiv.2105.01882,,
selfadded,Automatic Detection of Microplastics in the Aqueous Environment,Sarker M. A. B.; Butt U.; Imtiaz M. H.; Baki A. B.,"['Deep learning', 'DeepSORT', 'Microplastics', 'YOLOv5']",7.0,IEEE CCWC,2023.0,10.1109/CCWC57344.2023.10099253,https://doi.org/10.1109/CCWC57344.2023.10099253,,
selfadded,SMACC: A System for Microplastics Automatic Counting and Classification,Lorenzo-Navarro J.; Castrillón-Santana M.; Santesarti E.; De Marsico M.; Martínez I.; Raymond E.; Gómez M.; Herrera A.,"['debris', 'microplastic', 'classifiers', 'segmentation', 'classification']",63.0,IEEE Access,2020.0,10.1109/ACCESS.2020.2970498,https://doi.org/10.1109/ACCESS.2020.2970498,,
PA_WF,Towards More Efficient EfficientDets and Real-Time Marine Debris Detection,Federico Zocco; Tzu-Chieh Lin; Ching-I Huang; Hsueh-Cheng Wang; M. O. Khyam; Mien Van,"['debris', 'detection', 'marine', 'detectors', 'underwater']",23.0,IEEE Robotics and Automation Letters,2022.0,10.1109/LRA.2023.3245405,https://www.semanticscholar.org/paper/f3bc1d963451b4b01c97c1b2e21b5302cbd5bb86,https://pure.qub.ac.uk/files/411362511/Marked.pdf,"Marine debris is a problem both for the health of marine environments and for the human health since tiny pieces of plastic called “microplastics” resulting from the debris decomposition over the time are entering the food chain at any levels. For marine debris detection and removal, autonomous underwater vehicles (AUVs) are a potential solution. In this letter, we focus on the efficiency of AUV vision for real-time marine debris detection. First, we improved the efficiency of a class of state-of-the-art object detectors, namely EfficientDets [1], by 1.5% AP on D0, 2.6% AP on D1, 1.2% AP on D2 and 1.3% AP on D3 without increasing the GPU latency (see Fig. 1). Subsequently, we created and made publicly available a dataset for the detection of in-water plastic bags and bottles and trained our improved EfficientDets on this and on two public datasets for marine debris detection. Finally, we began the testing of real-time detection performance on a simulator of marine environments."
PA_WF,Real-Time Instance Segmentation for Detection of Underwater Litter as a Plastic Source,Brendan Chongzhi Corrigan; Z. Y. Tay; D. Konovessis,"['cnn', 'detection', 'trashcan', 'litter', 'debris']",26.0,Journal of Marine Science and Engineering,2023.0,10.3390/jmse11081532,https://www.semanticscholar.org/paper/775caf6b123321128ed8d0185a2f9c5275cad60f,https://www.mdpi.com/2077-1312/11/8/1532/pdf?version=1690878276,"Thousands of tonnes of litter enter the ocean every day, posing a significant threat to marine life and ecosystems. While floating and beach litter are often in the spotlight, about 70% of marine litter eventually sinks to the seafloor, making underwater litter the largest accumulation of marine litter that often goes undetected. Plastic debris makes up the majority of ocean litter and is a known source of microplastics in the ocean. This paper focuses on the detection of ocean plastic using neural network models. Two neural network models will be trained, i.e., YOLACT and the Mask R-CNN, for the instance segmentation of underwater litter in images. The models are trained on the TrashCAN dataset, using pre-trained model weights trained using COCO. The trained neural network could achieve a mean average precision (mAP) of 0.377 and 0.365 for the Mask R-CNN and YOLACT, respectively. The lightweight nature of YOLACT allows it to detect images at up to six times the speed of the Mask R-CNN, while only making a comparatively smaller trade-off in terms of performance. This allows for two separate applications: YOLACT for the collection of litter using autonomous underwater vehicles (AUVs) and the Mask R-CNN for surveying litter distribution."
MA_WF,An Ultracompact Underwater Pulsed Digital Holographic Camera With Rapid Particle Image Extraction Suite,T. Thevar; N. Burns; Michael Ockwell; J. Watson,"['hologram', 'holograms', 'holographic', 'underwater', 'sea']",9.0,IEEE Journal of Oceanic Engineering,2023.0,10.1109/JOE.2022.3220880,https://www.semanticscholar.org/paper/900c2a47f2e83f1b64669a2c89640599e1f51272,https://aura.abdn.ac.uk/bitstream/2164/23800/1/Thevar_etal_IEEEJOE_An_Ultracompact_Underwater_AAM.pdf,"This article presents the design, development, and testing of an ultracompact underwater pulsed digital holographic camera (named weeHoloCam) that has been successfully deployed in the North Sea. With a footprint of 9 cm diameter × 60 cm long and weighing just 3.5 kg, to our knowledge, this is the lightest and most compact system of its kind in the world. It can be easily adapted for mounting on remotely operated underwater vehicles (ROVs) and autonomous underwater vehicles (AUVs). weeHoloCam can record 12 cm3 of the water column per hologram at 20 Hz and has a capacity to continuously record up to 200 000 holograms, each 5 MB in size. Along with the holographic camera, a field-programmable gate array (FPGA)-accelerated hologram analysis suite has been developed. The 838 megapixel/s reconstruction speed demonstrated is the highest reported speed for a single FPGA implementation to date. This is an extremely important development as rapid processing of recorded holograms is vital for the viability of subsea holographic cameras. weeHoloCam was successfully trialed in the North Sea, recording close to a hundred thousand holograms and extracting particle images within those holograms at a rate of 190 per min. weeHoloCam has the potential to play an important role in several oceanic studies: spatial and temporal monitoring of plankton species; study of plankton dynamics; study of vertical transport of floc; and monitoring microplastic pollution in the ocean, to name but a few."
PA_WF,Detection of Weak and Small Targets in Forward-Looking Sonar Image Using Multi-Branch Shuttle Neural Network,Jianjun Wang; Chen Feng; Lingyu Wang; Guangliang Li; Bo He,"['sonar', 'fishnet', 'fishnets', 'detection', 'detecting']",25.0,IEEE Sensors Journal,2022.0,10.1109/jsen.2022.3147234,https://www.semanticscholar.org/paper/f24a94757cf9622587bca56629588d6d6a87e125,,"Autonomous Underwater Vehicle (AUV) is an automated navigation device, which can independently complete the underwater investigation and detection without supervision. However, the marine environment is getting increasingly severe, and the garbage in the ocean and fishnets cast by fishermen have a great negative influence on the work of AUV. To solve the problems of low precision and slow speed in the state-of-the-art network detection of weak and small targets in underwater sonar images, Yolo5 was improved by building the multi-branch shuttle neural network The dataset is collected by multi-beam forward-looking sonar Gemini720i, and includes “fishnet” and two representative types of knitted and plastic garbage, i.e., “cloth” and “plasticbag”. The original dataset is enhanced and balanced, and the effect of dataset distribution on the model performance is studied. Utilizing pre-training, the effects of Yolo5 family, i.e., Yolo5s, Yolo5m, Yolo5l and Yolo5x are compared using the balanced dataset, to explore the impacts on detecting weak and small targets of the deeper and wider networks of this family. In addition, the combinations of Yolo5s with lightweight networks, i.e., MobileNet3 and ShuffleNet2 are experimented, which further illustrates the effectiveness of the proposed network, and can satisfy the high accuracy and real-time requirements of AUV."
PA_WF,A Novel Multi-Robot Task Allocation Model in Marine Plastics Cleaning Based on Replicator Dynamics,Le Hong; Weicheng Cui; Hao Chen,"['robot', 'marine', 'underwater', 'autonomous', 'optimization']",10.0,Journal of Marine Science and Engineering,2021.0,10.3390/jmse9080879,https://www.semanticscholar.org/paper/313de1e5f988c40d3fce31f381575d4d3b3d8fd7,https://www.mdpi.com/2077-1312/9/8/879/pdf?version=1628947523,"As marine plastic pollution threatens the marine ecosystem seriously, the government needs to find an effective way to clean marine plastics. Due to the advantages of easy operation and high efficiency, autonomous underwater vehicles (AUVs) have been applied to clean marine plastics. As for the large-scale marine environment, the marine plastic cleaning task needs to be accomplished through the collaborative work of multiple AUVs. Assigning the cleaning task to each AUV reasonably and effectively has an essential impact on improving cleaning efficiency. The coordination of AUVs is subjected to harsh communication conditions. Therefore, to release the dependence on the underwater communications among AUVs, proposing a reliable multi-robot task allocation (MRTA) model is necessary. Inspired by the evolutionary game theory, this paper proposes a novel multi-robot task allocation (MRTA) model based on replicator dynamics for marine plastic cleaning. This novel model not only satisfies the minimization of the cost function, but also reaches a relatively stable state of the task allocation. A novel optimization algorithm, equilibrium optimizer (EO), is adopted as the optimizer. The simulation results validate the correctness of the results achieved by EO and the applicability of the proposed model. At last, several valuable conclusions are obtained from the simulations on the three different assumed AUVs."
PA_WF,UW-SVC: Scalable Video Coding Transmission for In-Network Underwater Imagery Analysis,M. Rahmati; D. Pompili,"['underwater', 'aquatic', 'ocean', 'waves', 'channel']",7.0,IEEE International Conference on Mobile Adhoc and Sensor Systems,2019.0,10.1109/MASS.2019.00052,https://www.semanticscholar.org/paper/05271c90461b3ed74cefaa509cd8f87fc6f57afd,https://arxiv.org/pdf/1910.08844,"Underwater imagery has enabled numerous civilian applications in various domains, ranging from academia to industry, and from industrial surveillance and maintenance to environmental protection and behavior of marine creatures studies. The accumulation of litter and plastic debris at the seafloor and the bottom of rivers are extremely harmful for the aquatic life. We propose a solution for monitoring this problem using a team of Autonomous Underwater Vehicles (AUVs) to exchange the recorded video in order to reconstruct the map of regions of interest. However, underwater video transmission is a challenge in the harsh environment in which radio-frequency waves are absorbed for distances above a few tens of meters, optical waves require narrow laser beams and suffer from scattering and ocean wave motion, and acoustic waves-while long range-provide a very low bandwidth and unreliable channel for communication. In our solution, the scalable coded video of each vehicle is shared in-network with a selected group of receiving vehicles through the underwater acoustic channel. Presented evaluations, including both simulations and experiments, confirm the efficiency and flexibility of the proposed solution using acoustic software-defined modems."
MDM_WF,Detection and Analysis of Microplastics in Human Sputum.,Shumin Huang; Xiaoxin Huang; Ran Bi; Qiuxia Guo; Xiaolin Yu; Qinghui Zeng; Ziyu Huang; Tianming Liu; Haisheng Wu; Yuliang Chen; Jialong Xu; Ying-E Wu; P. Guo,"['FTIR', 'environmental exposure', 'human sputum', 'laser infrared imaging spectrometer', 'microplastics']",295.0,Environmental Science and Technology,2022.0,10.1021/acs.est.1c03859,https://www.semanticscholar.org/paper/b400d38bb65cb241ebfe31f056932a24c16f3c02,https://pubs.acs.org/doi/pdf/10.1021/acs.est.1c03859,
MDM_WF,Micro- and Nanoplastics in Alpine Snow: A New Method for Chemical Identification and (Semi)Quantification in the Nanogram Range,Dušan Materić; A. Kasper-Giebl; D. Kau; M. Anten; Marion Greilinger; E. Ludewig; E. van Sebille; T. Röckmann; R. Holzinger,"['microplastics', 'nanoplastics', 'polymers', 'polypropylene', 'polymer']",215.0,Environmental Science and Technology,2020.0,10.1021/acs.est.9b07540,https://www.semanticscholar.org/paper/67b6469d307628749413eaa721e2cda87e0bc161,https://pubs.acs.org/doi/pdf/10.1021/acs.est.9b07540,
MDM_WF,Surface-Enhanced Raman Spectroscopy Facilitates the Detection of Microplastics <1 μm in the Environment.,Guanjun Xu; Hanyun Cheng; R. Jones; Yiqing Feng; Kedong Gong; Kejian Li; Xiaozhong Fang; Muhammad Ali Tahir; V. Valev; Liwu Zhang,"['nanoplastics', 'microplastics', 'microplastic', 'raman', 'nanoscale']",205.0,Environmental Science and Technology,2020.0,10.1021/acs.est.0c02317,https://www.semanticscholar.org/paper/188ac347b7c1b905b30803e892c844b14dfb194b,https://researchportal.bath.ac.uk/files/212282805/ms.pdf,
MDM_WF,Two Birds with One Stone—Fast and Simultaneous Analysis of Microplastics: Microparticles Derived from Thermoplastics and Tire Wear,P. Eisentraut; Erik Dümichen; A. S. Ruhl; M. Jekel; Mirko Albrecht; M. Gehde; U. Braun,"['microplastic', 'plastics', 'polymers', 'thermoplastic', 'spectrometry']",186.0,Environmental Science and Technology Letters,2018.0,10.1021/ACS.ESTLETT.8B00446,https://www.semanticscholar.org/paper/533b240768c482c442ee06147ddd4e9c9433de17,,
MDM_WF,Quantitative analysis of selected plastics in high commercial value Australian seafood by Pyrolysis Gas Chromatography Mass Spectrometry.,Francisca Ribeiro; E. Okoffo; J. O'Brien; S. Fraissinet-Tachet; Stacey O’Brien; M. Gallen; S. Samanipour; S. Kaserzon; Jochen F Mueller; T. Galloway; K. Thomas,"['microplastic', 'seafood', 'plastics', 'contamination', 'polyethylene']",171.0,Environmental Science and Technology,2020.0,10.1021/acs.est.0c02337,https://www.semanticscholar.org/paper/e9a08bc47846530d14a1d22bae35949e983a9e83,https://pubs.acs.org/doi/pdf/10.1021/acs.est.0c02337,
MDM_WF,"Lost, but Found with Nile Red: A Novel Method for Detecting and Quantifying Small Microplastics (1 mm to 20 μm) in Environmental Samples.",Gabriel Erni-Cassola; Matthew I. Gibson; Richard C. Thompson; J. Christie-Oleza,"['microplastics', 'microplastic', 'polypropylene', 'debris', 'polyethylene']",161.0,Environmental Science and Technology,2017.0,10.1021/acs.est.7b04512,https://www.semanticscholar.org/paper/e16589489cd089bf3bf98714cf34f3853684ac67,http://wrap.warwick.ac.uk/94731/1/WRAP-lost-found-novel-method-detect-Gibson-2017.pdf,"Marine plastic debris is a global environmental problem. Surveys have shown that <5 mm plastic particles, known as microplastics, are significantly more abundant in surface seawater and on shorelines than larger plastic particles are. Nevertheless, quantification of microplastics in the environment is hampered by a lack of adequate high-throughput methods for distinguishing and quantifying smaller size fractions (<1 mm), and this has probably resulted in an underestimation of actual microplastic concentrations. Here we present a protocol that allows high-throughput detection and automated quantification of small microplastic particles (20-1000 μm) using the dye Nile red, fluorescence microscopy, and image analysis software. This protocol has proven to be highly effective in the quantification of small polyethylene, polypropylene, polystyrene, and nylon-6 particles, which frequently occur in the water column. Our preliminary results from sea surface tows show a power-law increase in small microplastics (i.e., <1 mm) with a decreasing particle size. Hence, our data help to resolve speculation about the ""apparent"" loss of this fraction from surface waters. We consider that this method presents a step change in the ability to detect small microplastics by substituting the subjectivity of human visual sorting with a sensitive and semiautomated procedure."
MDM_WF,Detection and removal of microplastics in wastewater: evolution and impact,T. K. Dey; Md Elias Uddin; M. Jamal,"['microplastics', 'microplastic', 'wastewater', 'disposal', 'aquatic']",156.0,Environmental science and pollution research international,2021.0,10.1007/s11356-021-12943-5,https://www.semanticscholar.org/paper/881d3e772c5797817de3ab7bdd01a7fd0bc133a4,https://link.springer.com/content/pdf/10.1007/s11356-021-12943-5.pdf,"The pervasiveness of microplastics in aquatic ecosystems has become a major environmental issue in recent years. The gradual dumping of plastic wastes, inadequate standard detection methods with specific removal techniques, and slow disposal rate of microplastics make it ubiquitous in the environment. Evidence shows that microplastics act as a potential vector by adsorbing different heavy metals, pathogens, and other chemical additives widely used in different raw plastic production. Microplastics are ingested by aquatic creatures such as fish and different crustaceans, and finally, people ingest them at the tertiary level of the food chain. This phenomenon is responsible for blocking the digestion tracts, disturbing the digestive behavior, finally decreasing the reproductive growth of entire living organisms. Because of these consequences, microplastics have become an increasing concern as a newly emerging potential threat, and therefore, the control of microplastics in aquatic media is required. This paper provides a critical analysis of existing and newly developed methods for detecting and separating microplastics from discharged wastewater, which are the ultimate challenges in the microplastic treatment systems. A critical study on the effect of microplastics on aquatic organisms and human health is also discussed. Thus, this analysis provides a complete understanding of entire strategies for detecting and removing microplastics and their associated issues to ensure a waste discharge standard to minimize the ultimate potential impact in aquatic environments."
MDM_WF,Raman Spectral Imaging for the Detection of Inhalable Microplastics in Ambient Particulate Matter Samples.,S. Wright; J. Levermore; F. Kelly,"['microplastics', 'microplastic', 'particulate', 'pollution', 'contaminants']",102.0,Environmental Science and Technology,2019.0,10.1021/acs.est.8b06663,https://www.semanticscholar.org/paper/e4abeb8c40c30c92695b94da1cda91097259a169,https://kclpure.kcl.ac.uk/portal/en/publications/e0db5f79-9986-4899-9571-6198a9174e2d,
MDM_WF,Flow cytometry combined with viSNE for the analysis of microbial biofilms and detection of microplastics,Linn Sgier; Remo Freimann; Anze Zupanic;Alexandra Kroll1,"['biofilms', 'biofilm', 'microbial', 'cytometry', 'microplastic']",86.0,Nature Communications,2016.0,10.1038/ncomms11587,https://www.semanticscholar.org/paper/00c06991740dad32ac6bf144ca495b8e7141f560,https://www.nature.com/articles/ncomms11587.pdf,"Biofilms serve essential ecosystem functions and are used in different technical applications. Studies from stream ecology and waste-water treatment have shown that biofilm functionality depends to a great extent on community structure. Here we present a fast and easy-to-use method for individual cell-based analysis of stream biofilms, based on stain-free flow cytometry and visualization of the high-dimensional data by viSNE. The method allows the combined assessment of community structure, decay of phototrophic organisms and presence of abiotic particles. In laboratory experiments, it allows quantification of cellular decay and detection of survival of larger cells after temperature stress, while in the field it enables detection of community structure changes that correlate with known environmental drivers (flow conditions, dissolved organic carbon, calcium) and detection of microplastic contamination. The method can potentially be applied to other biofilm types, for example, for inferring community structure for environmental and industrial research and monitoring. The interpretation of high-dimensional flow cytometry data is difficult and time consuming. Here, Sgier et al.present an improved method that combines stain-free flow cytometry with viSNE data visualization for the analysis of microbial biofilms."
MDM_WF,"Validation and application of cost and time effective methods for the detection of 3-500 μm sized microplastics in the urban marine and estuarine environments surrounding Long Beach, California.",Kara J Wiggin; E. Holland,"['Long Beach, CA', 'Marine debris', 'Microplastic', 'Nile Red', 'Surface water', 'Urbanized water']",81.0,Marine Pollution Bulletin,2019.0,10.1016/J.MARPOLBUL.2019.03.060,https://www.semanticscholar.org/paper/b8d643c9e59d26ca7dd88b68ee9a36c7dcf31e73,,
MDM_WF,Hyperspectral Imaging Based Method for Rapid Detection of Microplastics in the Intestinal Tracts of Fish.,Yituo Zhang; Xue Wang; Jiajia Shan; Junbo Zhao; Wei Zhang; Lifen Liu; Fengchang Wu,"['hyperspectral', 'spectroscopy', 'microplastics', 'raman', 'fish']",78.0,Environmental Science and Technology,2019.0,10.1021/acs.est.8b07321,https://www.semanticscholar.org/paper/0a7855558075c8adb1b698750e30ce2fcde500ee,,
MDM_WF,Bioaccumulation of microplastics in decedent human brains,A. Nihart; Marcus A. Garcia; Eliane El Hayek; Rui Liu; Marian Olewine; Josiah D Kingston; Eliseo F Castillo; Rama R Gullapalli; Tamara Howard; Barry E. Bleske; Justin Scott; J. Gonzalez-Estrella; Jessica M Gross; Michael Spilde; Natalie Adolphi; Daniel F Gallego; Heather S Jarrell; Gabrielle Dvorscak; Maria E Zuluaga-Ruiz; A. West; Matthew J. Campen,"['microplastics', 'nanoplastics', 'plastics', 'polyethylene', 'polymers']",72.0,Nature Network Boston,2025.0,10.1038/s41591-024-03453-1,https://www.semanticscholar.org/paper/c0a3184a8aab7ab1310d1fe5c45c96ddea1a3d0e,https://doi.org/10.1038/s41591-024-03453-1,"Rising global concentrations of environmental microplastics and nanoplastics (MNPs) drive concerns for human exposure and health outcomes. Complementary methods for the robust detection of tissue MNPs, including pyrolysis gas chromatography–mass spectrometry, attenuated total reflectance–Fourier transform infrared spectroscopy and electron microscopy with energy-dispersive spectroscopy, confirm the presence of MNPs in human kidney, liver and brain. MNPs in these organs primarily consist of polyethylene, with lesser but significant concentrations of other polymers. Brain tissues harbor higher proportions of polyethylene compared to the composition of the plastics in liver or kidney, and electron microscopy verified the nature of the isolated brain MNPs, which present largely as nanoscale shard-like fragments. Plastic concentrations in these decedent tissues were not influenced by age, sex, race/ethnicity or cause of death; the time of death (2016 versus 2024) was a significant factor, with increasing MNP concentrations over time in both liver and brain samples (P = 0.01). Finally, even greater accumulation of MNPs was observed in a cohort of decedent brains with documented dementia diagnosis, with notable deposition in cerebrovascular walls and immune cells. These results highlight a critical need to better understand the routes of exposure, uptake and clearance pathways and potential health consequences of plastics in human tissues, particularly in the brain."
MDM_WF,Comparison of Detection Methods of Microplastics in Landfill Mineralized Refuse and Selection of Degradation Degree Indexes.,Ying Zhang; Yawen Peng; Chu-Li Peng; Ping Wang; Yuan Lu; Xiaosong He; Lei Wang,"['degradation degree', 'laser direct infrared spectroscopy', 'mass spectrometry', 'new indexes', 'Polycarbonate', 'PET']",69.0,Environmental Science and Technology,2021.0,10.1021/acs.est.1c02772,https://www.semanticscholar.org/paper/bd4c67276ff2049e98b1985ec4c66f852d129b83,,
MDM_WF,Preliminary Results From Detection of Microplastics in Liquid Samples Using Flow Cytometry,Namrata Kaile; Mathilde Lindivat; J. Elío; G. Thuestad; Q. Crowley; I. A. Hoell,"['microplastics', 'microplastic', 'polyethylene', 'polypropylene', 'polycarbonate']",63.0,Frontiers in Marine Science,2020.0,10.3389/fmars.2020.552688,https://www.semanticscholar.org/paper/b81ce0ea4f6a76f6eab25c2d4d28b86d5a5a9dc7,https://www.frontiersin.org/articles/10.3389/fmars.2020.552688/pdf,"Microplastics are globally recognized as contaminants in freshwater and marine aquatic systems. To date there is no universally accepted protocol for isolation and quantification of microplastics from aqueous media. Various methodologies exist, many of which are time consuming and have the potential to introduce contaminants into samples, thereby obscuring characterization of the environmental microplastic load. Here, we present first steps in the detection of microplastics in liquid samples, based on their fluorescent staining followed by high throughput analysis and quantification using Flow Cytometry. Using controlled laboratory settings nine polymer types [polystyrene (PS); polyethylene (PE); polyethylene terephthalate (PET/PETE); high density polyethylene (HDPE); low density polyethylene (LDPE); polyvinyl chloride (PVC); polypropylene (PP); nylon (PA); polycarbonate (PC)] were tested for identification and quantification in freshwater. All nine plastic types were stained with 10 μg/mL Nile Red in 10% dimethyl sulfoxide with a 10 min incubation time. The lowest spatial detectable limit for plastic particles was 200 nm. Out of the nine polymer types chosen for the study PS, PE, PET, and PC were well-identified; however, results for other plastic types (PVC, PP, PA, LDPE, and HDPE) were masked to certain extent by Nile Red aggregation and precipitation. The methodology presented here permits identification of a range of particle sizes and types. It represents a significant step in the quantification of microplastics by replacing visual data interpretation with a sensitive and automated method."
MDM_WF,When Good Intentions Go Bad - False Positive Microplastic Detection Caused by Disposable Gloves.,Cordula S. Witzig; C. Földi; K. Wörle; P. Habermehl; M. Pittroff; Y. K. Müller; T. Lauschke; P. Fiener; Georg Dierkes; K. Freier; Nicole Zumbülte,"['microplastics', 'microplastic', 'contamination', 'polyethylene', 'spectrometry']",60.0,Environmental Science and Technology,2020.0,10.1021/acs.est.0c03742,https://www.semanticscholar.org/paper/8de93fa9f1aa1c4590a954db90f6b945e3b5274e,,
MDM_WF,The development and application of advanced analytical methods in microplastics contamination detection: A critical review.,Yongkai Ye; Keqiang Yu; Yanru Zhao,"['Application and development', 'Chemical analytical method', 'Microplastics pollution', 'Possible solutions']",56.0,Science of the Total Environment,2021.0,10.1016/j.scitotenv.2021.151851,https://www.semanticscholar.org/paper/2475f631aa1da5af7d5a318be4f5dc3ab2014cd8,,
MDM_WF,An insight into different microplastic detection methods,A. Baruah; A. Sharma; S. Sharma; R. Nagraik,"['microplastics', 'microplastic', 'detect', 'detection', 'polymer']",53.0,International Journal of Environmental Science and Technology,2021.0,10.1007/s13762-021-03384-1,https://www.semanticscholar.org/paper/4fac389528fbcaa3352dd51c3877df2970f55530,,
MDM_WF,Standardization of micro-FTIR methods and applicability for the detection and identification of microplastics in environmental matrices.,Chayanika Rathore; M. Saha; Priyansha Gupta; M. Nireekshan Kumar; A. Naik; J. de Boer,"['Detection modes', 'Micro-FTIR', 'Microplastics', 'Polymer identification', 'Spectroscopy']",53.0,Science of the Total Environment,2023.0,10.1016/j.scitotenv.2023.164157,https://www.semanticscholar.org/paper/8ea0f59fbb420a127dac7c5e008e50e699ac0aa4,https://research.vu.nl/files/290886273/Standardization_of_micro-FTIR_methods_and_applicability_for_the_detection_and_identification_of_microplastics_in_environmental_matrices.pdf,
MDM_WF,Toward the Detection and Imaging of Ocean Microplastics With a Spaceborne Radar,Madeline C. Evans; C. Ruf,"['microplastics', 'microplastic', 'plankton', 'ocean', 'radars']",52.0,IEEE Transactions on Geoscience and Remote Sensing,2021.0,10.1109/TGRS.2021.3081691,https://www.semanticscholar.org/paper/47343f24f247748a9b665c9d7f4235e166d94f46,https://ieeexplore.ieee.org/ielx7/36/9633014/09449485.pdf,
MDM_WF,Automatic Identification of Individual Nanoplastics by Raman Spectroscopy Based on Machine Learning.,Lifang Xie; Siheng Luo; Yangyang Liu; Xuejun Ruan; Kedong Gong; Qiuyue Ge; Kejian Li; V. Valev; Guo-kun Liu; Liwu Zhang,"['Machine Learning', 'Microplastics', 'Nanoplastics', 'Raman Spectroscopy', 'Random Forest']",49.0,Environmental Science and Technology,2023.0,10.1021/acs.est.3c03210,https://www.semanticscholar.org/paper/c5ca01bc4b600217168839eae4419dc86392aa87,,
MDM_WF,Counterstaining to separate Nile Red-stained microplastic particles from terrestrial invertebrate biomass.,Helmberger Maxwell S; Frame Melinda K; G. Matthew,"['microplastics', 'microplastic', 'invertebrates', 'biota', 'fluorescent']",49.0,Environmental Science and Technology,2020.0,10.1021/acs.est.0c00711,https://www.semanticscholar.org/paper/ea9dc111ef2cb0d10bc47511d967c59bef3a6826,https://doi.org/10.1021/acs.est.0c00711.s001,
